         41373135 function calls (41372477 primitive calls) in 139.881 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      238    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7fe09b73b740}
      126    0.000    0.000    0.001    0.000 weakref.py:334(__new__)
       84    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       14    0.000    0.000    4.532    0.324 pytables.py:268(to_hdf)
      210    0.000    0.000    0.004    0.000 common.py:223(is_datetimetz)
       14    0.000    0.000    2.319    0.166 atom.py:1219(_tobuffer)
       42    0.000    0.000    0.007    0.000 missing.py:51(_isna_new)
       28    0.000    0.000    0.004    0.000 base.py:1825(take)
       42    0.000    0.000    0.294    0.007 group.py:1148(_g_load_child)
       98    0.000    0.000    0.001    0.000 common.py:297(is_datetime64_dtype)
      182    0.000    0.000    0.002    0.000 common.py:85(is_object_dtype)
       14    0.000    0.000    0.001    0.000 file.py:365(__init__)
       42    0.000    0.000    0.017    0.000 strings.py:1291(str_encode)
       28    0.000    0.000    0.031    0.001 common.py:128(_stringify_path)
       28    0.000    0.000    0.001    0.000 pytables.py:2236(set_version)
       14    0.000    0.000    0.002    0.000 pytables.py:1205(_create_storer)
      224    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.isscalar}
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       84    0.000    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
       14    0.000    0.000    0.031    0.002 vlarray.py:254(__init__)
       70    0.000    0.000    0.001    0.000 dtypes.py:678(is_dtype)
       56    0.000    0.000    0.005    0.000 group.py:882(_g_close)
       56    0.000    0.000    0.021    0.000 {built-in method builtins.setattr}
      112    0.000    0.000    0.000    0.000 range.py:72(_ensure_int)
      168    0.000    0.000    0.001    0.000 internals.py:4474(dtype)
       70    0.000    0.000    0.001    0.000 node.py:156(_g_getparent)
      756    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       28    0.000    0.000    0.005    0.000 iostream.py:342(write)
       14    0.000    0.000    0.162    0.012 internals.py:4750(_simple_blockify)
       98    0.000    0.000    0.005    0.000 common.py:1596(is_extension_type)
      112    0.000    0.000    0.001    0.000 __init__.py:200(iteritems)
       42    0.000    0.000    0.000    0.000 {method '_g_close_group' of 'tables.hdf5extension.Group' objects}
       14    0.000    0.000    0.005    0.000 file.py:837(__get_root_group)
      140    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       14    0.000    0.000    0.012    0.001 pytables.py:2266(set_object_info)
      168    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.004    0.000 atom.py:589(_get_init_args)
       14    0.000    0.000    0.201    0.014 pytables.py:442(__init__)
       70    0.000    0.000    0.000    0.000 base.py:1726(__getitem__)
      182    0.000    0.000    0.001    0.000 path.py:227(isvisiblename)
       42    0.000    0.000    0.036    0.001 strings.py:1651(encode)
       98    0.000    0.000    0.003    0.000 path.py:132(check_name_validity)
      182    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       28    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
       14    0.000    0.000    0.226    0.016 internals.py:4629(create_block_manager_from_arrays)
      168    0.000    0.000    0.001    0.000 series.py:347(dtype)
       56    0.000    0.000    0.001    0.000 dtypes.py:556(is_dtype)
       42    0.000    0.000    0.001    0.000 internals.py:3053(shape)
       28    0.000    0.000    0.001    0.000 common.py:375(_asarray_tuplesafe)
    42/14    0.000    0.000    0.001    0.000 utils.py:139(check_file_access)
       14    0.000    0.000    3.789    0.271 pytables.py:838(put)
       84    0.000    0.000    0.006    0.000 atom.py:694(__init__)
       56    0.000    0.000    0.000    0.000 pytables.py:1504(set_name)
       28    0.000    0.000    0.000    0.000 base.py:733(_get_attributes_dict)
       98    0.000    0.000    0.008    0.000 file.py:877(_get_or_create_path)
      140    0.000    0.000    0.129    0.001 flavor.py:170(array_as_internal)
